location,count,link
"the great burn wilderness area (wilderness)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20great%20burn%20wilderness%20area%20(wilderness)"
"chicago (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#chicago%20(city)"
"cleveland (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#cleveland%20(city)"
"cataldo (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#cataldo%20(city)"
"the coeur d&#39",2,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20coeur%20d&%2339"
"mississippi (state)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#mississippi%20(state)"
"great burn wilderness area (wilderness)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#great%20burn%20wilderness%20area%20(wilderness)"
"boulder lake (lake)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#boulder%20lake%20(lake)"
"redfish lake (lake)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#redfish%20lake%20(lake)"
"bonners (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#bonners%20(city)"
"targhee pass (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#targhee%20pass%20(landform)"
"eight mile (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#eight%20mile%20(forest)"
"england (country)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#england%20(country)"
"long canyon-selkirk crest (wilderness)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#long%20canyon-selkirk%20crest%20(wilderness)"
"targhee national forest (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#targhee%20national%20forest%20(forest)"
"warm creek (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#warm%20creek%20(stream)"
"lake pend oreille (lake)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#lake%20pend%20oreille%20(lake)"
"pacific northwest (region)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#pacific%20northwest%20(region)"
"snow peak (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#snow%20peak%20(landform)"
"grandjean (campground)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#grandjean%20(campground)"
"kingston (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#kingston%20(city)"
"canada (country)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#canada%20(country)"
"payette forest (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#payette%20forest%20(forest)"
"shoshone county (county)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#shoshone%20county%20(county)"
"sun valley (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#sun%20valley%20(city)"
"milk creek (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#milk%20creek%20(stream)"
"sawtooth forest (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#sawtooth%20forest%20(forest)"
"st. joe river (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#st.%20joe%20river%20(stream)"
"smoky mountains (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#smoky%20mountains%20(landform)"
"thompson creek (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#thompson%20creek%20(stream)"
"kelly creek district (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#kelly%20creek%20district%20(stream)"
"anderson ranch dam (dam/reservoir)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#anderson%20ranch%20dam%20(dam/reservoir)"
"georgia (state)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#georgia%20(state)"
"florida (state)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#florida%20(state)"
"vietnam (country)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#vietnam%20(country)"
"parker creek (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#parker%20creek%20(stream)"
"smoky mountain (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#smoky%20mountain%20(landform)"
"pine creek (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#pine%20creek%20(stream)"
"palisades creek (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#palisades%20creek%20(stream)"
"green mountain (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#green%20mountain%20(landform)"
"new england (region)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#new%20england%20(region)"
"snowbank mountain (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#snowbank%20mountain%20(landform)"
"nebraska (state)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#nebraska%20(state)"
"goldberg (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#goldberg%20(landform)"
"yellowstone park (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#yellowstone%20park%20(forest)"
"pioneer (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#pioneer%20(landform)"
"henry lake (lake)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#henry%20lake%20(lake)"
"lake (lake)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#lake%20(lake)"
"silver creek plunge (campground)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#silver%20creek%20plunge%20(campground)"
"atlanta (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#atlanta%20(city)"
"sawtooth wilderness (wilderness)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#sawtooth%20wilderness%20(wilderness)"
"elk mountain (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#elk%20mountain%20(landform)"
"east fork (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#east%20fork%20(stream)"
"palisades reservoir (lake)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#palisades%20reservoir%20(lake)"
"yellowstone (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#yellowstone%20(forest)"
"twin falls (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#twin%20falls%20(city)"
"goat mountain (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#goat%20mountain%20(landform)"
"scott mountains (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#scott%20mountains%20(landform)"
"ada county (county)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#ada%20county%20(county)"
"caribou forest (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#caribou%20forest%20(forest)"
"hells canyon (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#hells%20canyon%20(landform)"
"deadwood mountain (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#deadwood%20mountain%20(landform)"
"long canyons (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#long%20canyons%20(landform)"
"clearwater (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#clearwater%20(stream)"
"the no return wilderness (wilderness)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20no%20return%20wilderness%20(wilderness)"
"indian creek (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#indian%20creek%20(stream)"
"mountain home (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#mountain%20home%20(city)"
"the payette forest (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20payette%20forest%20(forest)"
"wild river (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#wild%20river%20(stream)"
"swan valley (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#swan%20valley%20(city)"
"little boulder creek (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#little%20boulder%20creek%20(stream)"
"goat ridge (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#goat%20ridge%20(landform)"
"hoodoo great burn (wilderness)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#hoodoo%20great%20burn%20(wilderness)"
"panhandle forest (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#panhandle%20forest%20(forest)"
"hoodoo great burn area (wilderness)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#hoodoo%20great%20burn%20area%20(wilderness)"
"columbia (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#columbia%20(stream)"
"boulder-white clouds (wilderness)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#boulder-white%20clouds%20(wilderness)"
"obia creek (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#obia%20creek%20(stream)"
"lolo trail (trail)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#lolo%20trail%20(trail)"
"idaho national forest (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20national%20forest%20(forest)"
"trinity mountain (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#trinity%20mountain%20(landform)"
"illinois (state)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#illinois%20(state)"
"caribou city (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#caribou%20city%20(city)"
"toboggan (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#toboggan%20(stream)"
"orogrande creek (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#orogrande%20creek%20(stream)"
"caldwell",2,"https://thecdil.github.io/wilderness-hearings/browse.html#caldwell"
"king mountain (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#king%20mountain%20(landform)"
"poker creek (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#poker%20creek%20(stream)"
"st. anthony (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#st.%20anthony%20(city)"
"jedidiah smith wilderness (wilderness)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#jedidiah%20smith%20wilderness%20(wilderness)"
"heritage cedar grove (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#heritage%20cedar%20grove%20(forest)"
"jackson hole (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#jackson%20hole%20(city)"
"driggs (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#driggs%20(city)"
"mountains (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#mountains%20(landform)"
"salmon national forests (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#salmon%20national%20forests%20(forest)"
"big lost river range (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#big%20lost%20river%20range%20(landform)"
"smith ridge (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#smith%20ridge%20(landform)"
"tenmile (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#tenmile%20(stream)"
"west virginia (state)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#west%20virginia%20(state)"
"grangeville",2,"https://thecdil.github.io/wilderness-hearings/browse.html#grangeville"
"island park (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#island%20park%20(city)"
"iowa (state)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#iowa%20(state)"
"silver valley (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#silver%20valley%20(landform)"
"caribou county (county)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#caribou%20county%20(county)"
"the challis national forest (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20challis%20national%20forest%20(forest)"
"the sawtooth national recreation area (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20sawtooth%20national%20recreation%20area%20(forest)"
"kamiah",2,"https://thecdil.github.io/wilderness-hearings/browse.html#kamiah"
"heart lake (lake)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#heart%20lake%20(lake)"
"leadore",2,"https://thecdil.github.io/wilderness-hearings/browse.html#leadore"
"rhode island (state)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#rhode%20island%20(state)"
"post falls (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#post%20falls%20(city)"
"salmon-payette crest (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#salmon-payette%20crest%20(landform)"
"the clear water forest (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20clear%20water%20forest%20(forest)"
"clearwater forest (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#clearwater%20forest%20(forest)"
"julietta (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#julietta%20(city)"
"upper hazard lake (lake)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#upper%20hazard%20lake%20(lake)"
"hungary creek (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#hungary%20creek%20(stream)"
"lochsa district (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#lochsa%20district%20(stream)"
"payette lake (lake)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#payette%20lake%20(lake)"
"leadore (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#leadore%20(city)"
"the salmon national forest (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20salmon%20national%20forest%20(forest)"
"nez perce reservation (indian reservation)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#nez%20perce%20reservation%20(indian%20reservation)"
"mackey bar (campground)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#mackey%20bar%20(campground)"
"pierce",2,"https://thecdil.github.io/wilderness-hearings/browse.html#pierce"
"the nez perce (forest)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20nez%20perce%20(forest)"
"elk river (city)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#elk%20river%20(city)"
"porthill, idaho",2,"https://thecdil.github.io/wilderness-hearings/browse.html#porthill,%20idaho"
"north america (continent)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#north%20america%20(continent)"
"meadow creek (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#meadow%20creek%20(stream)"
"marble creek (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#marble%20creek%20(stream)"
"stanley",2,"https://thecdil.github.io/wilderness-hearings/browse.html#stanley"
"lick creek north (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#lick%20creek%20north%20(stream)"
"red river (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#red%20river%20(stream)"
"jersey jack (landform)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#jersey%20jack%20(landform)"
"troy",2,"https://thecdil.github.io/wilderness-hearings/browse.html#troy"
"valley county (county)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#valley%20county%20(county)"
"slate creek (stream)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#slate%20creek%20(stream)"
"middle east (region)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#middle%20east%20(region)"
"wallace",2,"https://thecdil.github.io/wilderness-hearings/browse.html#wallace"
"goat lake (lake)",2,"https://thecdil.github.io/wilderness-hearings/browse.html#goat%20lake%20(lake)"
"yellow pine, idaho",1,"https://thecdil.github.io/wilderness-hearings/browse.html#yellow%20pine,%20idaho"
"virginia (state)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#virginia%20(state)"
"big creek (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#big%20creek%20(stream)"
"loon mountains (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#loon%20mountains%20(landform)"
"gospel hump and council mountain (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#gospel%20hump%20and%20council%20mountain%20(landform)"
"moose mountain wilderness (wilderness)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#moose%20mountain%20wilderness%20(wilderness)"
"pinnacle peak (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#pinnacle%20peak%20(landform)"
"hump wilderness area (wilderness)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#hump%20wilderness%20area%20(wilderness)"
"elk meadows (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#elk%20meadows%20(landform)"
"bovill (city)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#bovill%20(city)"
"deary (city)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#deary%20(city)"
"granite mountain (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#granite%20mountain%20(landform)"
"st. joe national forests (forest)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#st.%20joe%20national%20forests%20(forest)"
"these united states (country)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#these%20united%20states%20(country)"
"coffee cup lake (lake)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#coffee%20cup%20lake%20(lake)"
"warrens (city)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#warrens%20(city)"
"rainbow lakes (lake)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#rainbow%20lakes%20(lake)"
"twin lakes (lake)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#twin%20lakes%20(lake)"
"beaverhead county (county)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#beaverhead%20county%20(county)"
"the selway-bitterroot wilderness area (wilderness)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20selway-bitterroot%20wilderness%20area%20(wilderness)"
"granite lake reservoir (lake)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#granite%20lake%20reservoir%20(lake)"
"everson creek (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#everson%20creek%20(stream)"
"stroud creek (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#stroud%20creek%20(stream)"
"porcupine creek (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#porcupine%20creek%20(stream)"
"leadore community (city)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#leadore%20community%20(city)"
"fisher creek (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#fisher%20creek%20(stream)"
"big eight mile (forest)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#big%20eight%20mile%20(forest)"
"leadore district (city)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#leadore%20district%20(city)"
"swan basin (lake)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#swan%20basin%20(lake)"
"hayden (city)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#hayden%20(city)"
"leadore county (county)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#leadore%20county%20(county)"
"south bruin mountains (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#south%20bruin%20mountains%20(landform)"
"detroit (city)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#detroit%20(city)"
"bruin mountain (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#bruin%20mountain%20(landform)"
"jupiter (planet)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#jupiter%20(planet)"
"alpine zone (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#alpine%20zone%20(stream)"
"bear grass ridge (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#bear%20grass%20ridge%20(landform)"
"minnesaka river (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#minnesaka%20river%20(stream)"
"lakes buttee elizabeth lakes (lake)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#lakes%20buttee%20elizabeth%20lakes%20(lake)"
"summit (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#summit%20(landform)"
"creeks (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#creeks%20(stream)"
"kentucky (state)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#kentucky%20(state)"
"mud lake (lake)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#mud%20lake%20(lake)"
"mecca (city)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#mecca%20(city)"
"mallard-larkins wilderness (wilderness)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#mallard-larkins%20wilderness%20(wilderness)"
"boise- yuba river (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#boise-%20yuba%20river%20(stream)"
"little north fork canyon (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#little%20north%20fork%20canyon%20(landform)"
"lake creek (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#lake%20creek%20(stream)"
"lakes (lake)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#lakes%20(lake)"
"minnesahka creek (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#minnesahka%20creek%20(stream)"
"toboggan ridge road (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#toboggan%20ridge%20road%20(landform)"
"park creek (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#park%20creek%20(stream)"
"timber river (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#timber%20river%20(stream)"
"creekneedles (campground)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#creekneedles%20(campground)"
"black dome (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#black%20dome%20(landform)"
"wood river (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#wood%20river%20(stream)"
"mallard-larkins rare h (wilderness)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#mallard-larkins%20rare%20h%20(wilderness)"
"kamiah (city)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#kamiah%20(city)"
"kelly-cayuse (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#kelly-cayuse%20(stream)"
"lochsa (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#lochsa%20(stream)"
"hoodoo mountain-great burn area (wilderness)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#hoodoo%20mountain-great%20burn%20area%20(wilderness)"
"endangerd wilderness core (wilderness)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#endangerd%20wilderness%20core%20(wilderness)"
"elk butte (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#elk%20butte%20(landform)"
"loon creek (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#loon%20creek%20(stream)"
"falkenberry lake (lake)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#falkenberry%20lake%20(lake)"
"fish creek roadless area (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#fish%20creek%20roadless%20area%20(stream)"
"leaterman peaks (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#leaterman%20peaks%20(landform)"
"minnesoka creek (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#minnesoka%20creek%20(stream)"
"craig lake (lake)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#craig%20lake%20(lake)"
"worm creeks (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#worm%20creeks%20(stream)"
"sneakfoot-marion (forest)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#sneakfoot-marion%20(forest)"
"upper snake river valley (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#upper%20snake%20river%20valley%20(landform)"
"black mountain (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#black%20mountain%20(landform)"
"scull creek (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#scull%20creek%20(stream)"
"black lake (lake)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#black%20lake%20(lake)"
"kelly creek-cayuse (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#kelly%20creek-cayuse%20(stream)"
"kellogg-wardner (city)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#kellogg-wardner%20(city)"
"jerry peak west (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#jerry%20peak%20west%20(landform)"
"corral horse basin (wilderness)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#corral%20horse%20basin%20(wilderness)"
"salmon falls creek (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#salmon%20falls%20creek%20(stream)"
"black butte (wilderness)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#black%20butte%20(wilderness)"
"great yellowstone ecosystem (forest)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#great%20yellowstone%20ecosystem%20(forest)"
"scotchman peaks (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#scotchman%20peaks%20(landform)"
"gams mountain (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#gams%20mountain%20(landform)"
"seattle (city)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#seattle%20(city)"
"hells half acre (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#hells%20half%20acre%20(landform)"
"trapper peak (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#trapper%20peak%20(landform)"
"salt lake valley (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#salt%20lake%20valley%20(landform)"
"yellowstone parks (forest)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#yellowstone%20parks%20(forest)"
"tennessee (state)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#tennessee%20(state)"
"myrtle creek (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#myrtle%20creek%20(stream)"
"selkirk long canyon wilderness area (wilderness)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#selkirk%20long%20canyon%20wilderness%20area%20(wilderness)"
"fisher canyon (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#fisher%20canyon%20(landform)"
"the superstition wilderness area (wilderness)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20superstition%20wilderness%20area%20(wilderness)"
"salt lake (city)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#salt%20lake%20(city)"
"minnisoka basin (lake)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#minnisoka%20basin%20(lake)"
"creek canyon (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#creek%20canyon%20(stream)"
"salmon river breaks national recreation area (wilderness)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#salmon%20river%20breaks%20national%20recreation%20area%20(wilderness)"
"parma (city)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#parma%20(city)"
"the bear creek (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20bear%20creek%20(stream)"
"potlatch (city)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#potlatch%20(city)"
"beaverhead mountains (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#beaverhead%20mountains%20(landform)"
"burns canyon (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#burns%20canyon%20(landform)"
"peck (city)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#peck%20(city)"
"weippe (city)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#weippe%20(city)"
"himalayas (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#himalayas%20(landform)"
"amazon (forest)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#amazon%20(forest)"
"iran (country)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#iran%20(country)"
"iraq (country)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#iraq%20(country)"
"saddle mountains (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#saddle%20mountains%20(landform)"
"lemhi mountains (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#lemhi%20mountains%20(landform)"
"southern lemhis (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#southern%20lemhis%20(landform)"
"persia (region)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#persia%20(region)"
"babylon (city)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#babylon%20(city)"
"black canyon trail (trail)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#black%20canyon%20trail%20(trail)"
"bell mountains (landform)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#bell%20mountains%20(landform)"
"klompton creek (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#klompton%20creek%20(stream)"
"corral creek (stream)",1,"https://thecdil.github.io/wilderness-hearings/browse.html#corral%20creek%20(stream)"
