location,count,link
"rapid river (stream)",10,"https://thecdil.github.io/wilderness-hearings/browse.html#rapid%20river%20(stream)"
"u.s. (country)",10,"https://thecdil.github.io/wilderness-hearings/browse.html#u.s.%20(country)"
"fish creek (stream)",10,"https://thecdil.github.io/wilderness-hearings/browse.html#fish%20creek%20(stream)"
"boulder mountains (landform)",10,"https://thecdil.github.io/wilderness-hearings/browse.html#boulder%20mountains%20(landform)"
"mccall (city)",10,"https://thecdil.github.io/wilderness-hearings/browse.html#mccall%20(city)"
"new york (state)",10,"https://thecdil.github.io/wilderness-hearings/browse.html#new%20york%20(state)"
"custer county (county)",10,"https://thecdil.github.io/wilderness-hearings/browse.html#custer%20county%20(county)"
"elk summit (landform)",10,"https://thecdil.github.io/wilderness-hearings/browse.html#elk%20summit%20(landform)"
"payette national forest (forest)",10,"https://thecdil.github.io/wilderness-hearings/browse.html#payette%20national%20forest%20(forest)"
"lemhi county (county)",10,"https://thecdil.github.io/wilderness-hearings/browse.html#lemhi%20county%20(county)"
"boise river (stream)",10,"https://thecdil.github.io/wilderness-hearings/browse.html#boise%20river%20(stream)"
"north fork (stream)",10,"https://thecdil.github.io/wilderness-hearings/browse.html#north%20fork%20(stream)"
"diamond peak (landform)",9,"https://thecdil.github.io/wilderness-hearings/browse.html#diamond%20peak%20(landform)"
"lost river range (landform)",9,"https://thecdil.github.io/wilderness-hearings/browse.html#lost%20river%20range%20(landform)"
"canyon creek (stream)",9,"https://thecdil.github.io/wilderness-hearings/browse.html#canyon%20creek%20(stream)"
"west big hole (wilderness)",9,"https://thecdil.github.io/wilderness-hearings/browse.html#west%20big%20hole%20(wilderness)"
"peaks (landform)",9,"https://thecdil.github.io/wilderness-hearings/browse.html#peaks%20(landform)"
"mallard-larkins pioneer area (forest)",9,"https://thecdil.github.io/wilderness-hearings/browse.html#mallard-larkins%20pioneer%20area%20(forest)"
"great burn (wilderness)",9,"https://thecdil.github.io/wilderness-hearings/browse.html#great%20burn%20(wilderness)"
"lemhi range (landform)",8,"https://thecdil.github.io/wilderness-hearings/browse.html#lemhi%20range%20(landform)"
"the nez perce national forest (forest)",8,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20nez%20perce%20national%20forest%20(forest)"
"targhee (forest)",8,"https://thecdil.github.io/wilderness-hearings/browse.html#targhee%20(forest)"
"canyon (landform)",8,"https://thecdil.github.io/wilderness-hearings/browse.html#canyon%20(landform)"
"french creek (stream)",8,"https://thecdil.github.io/wilderness-hearings/browse.html#french%20creek%20(stream)"
"river of no return wilderness (wilderness)",8,"https://thecdil.github.io/wilderness-hearings/browse.html#river%20of%20no%20return%20wilderness%20(wilderness)"
"challis national forest (forest)",8,"https://thecdil.github.io/wilderness-hearings/browse.html#challis%20national%20forest%20(forest)"
"payette crest (landform)",8,"https://thecdil.github.io/wilderness-hearings/browse.html#payette%20crest%20(landform)"
"the middle fork (stream)",8,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20middle%20fork%20(stream)"
"the salmo priest (wilderness)",8,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20salmo%20priest%20(wilderness)"
"clearwater river (stream)",8,"https://thecdil.github.io/wilderness-hearings/browse.html#clearwater%20river%20(stream)"
"naples, idaho",8,"https://thecdil.github.io/wilderness-hearings/browse.html#naples,%20idaho"
"priest river (stream)",7,"https://thecdil.github.io/wilderness-hearings/browse.html#priest%20river%20(stream)"
"pahsimeroi (landform)",7,"https://thecdil.github.io/wilderness-hearings/browse.html#pahsimeroi%20(landform)"
"idaho wilderness core (wilderness)",7,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20wilderness%20core%20(wilderness)"
"sawtooth national recreation area (wilderness)",7,"https://thecdil.github.io/wilderness-hearings/browse.html#sawtooth%20national%20recreation%20area%20(wilderness)"
"clearwater national forest (forest)",7,"https://thecdil.github.io/wilderness-hearings/browse.html#clearwater%20national%20forest%20(forest)"
"steel mountain (landform)",7,"https://thecdil.github.io/wilderness-hearings/browse.html#steel%20mountain%20(landform)"
"pennsylvania (state)",7,"https://thecdil.github.io/wilderness-hearings/browse.html#pennsylvania%20(state)"
"the clearwater national forest (forest)",7,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20clearwater%20national%20forest%20(forest)"
"bonner county (county)",7,"https://thecdil.github.io/wilderness-hearings/browse.html#bonner%20county%20(county)"
"kellogg (city)",7,"https://thecdil.github.io/wilderness-hearings/browse.html#kellogg%20(city)"
"white clouds wilderness area (wilderness)",7,"https://thecdil.github.io/wilderness-hearings/browse.html#white%20clouds%20wilderness%20area%20(wilderness)"
"little wood river (stream)",7,"https://thecdil.github.io/wilderness-hearings/browse.html#little%20wood%20river%20(stream)"
"selway-bitterroot wilderness (wilderness)",7,"https://thecdil.github.io/wilderness-hearings/browse.html#selway-bitterroot%20wilderness%20(wilderness)"
"tetons (landform)",7,"https://thecdil.github.io/wilderness-hearings/browse.html#tetons%20(landform)"
"moyie springs (city)",7,"https://thecdil.github.io/wilderness-hearings/browse.html#moyie%20springs%20(city)"
"toboggan creek (stream)",7,"https://thecdil.github.io/wilderness-hearings/browse.html#toboggan%20creek%20(stream)"
"st. maries (city)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#st.%20maries%20(city)"
"the targhee national forest (forest)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20targhee%20national%20forest%20(forest)"
"scotchman peak (landform)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#scotchman%20peak%20(landform)"
"nation (country)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#nation%20(country)"
"lick creek (stream)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#lick%20creek%20(stream)"
"grandmother mountain (landform)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#grandmother%20mountain%20(landform)"
"the sawtooth national forest (forest)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20sawtooth%20national%20forest%20(forest)"
"parker canyon (landform)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#parker%20canyon%20(landform)"
