subject,count,link
"chairman, middle snake group, the sierra club",1,"https://thecdil.github.io/wilderness-hearings/browse.html#chairman,%20middle%20snake%20group,%20the%20sierra%20club"
"ada county chapter, idaho conservation league",1,"https://thecdil.github.io/wilderness-hearings/browse.html#ada%20county%20chapter,%20idaho%20conservation%20league"
"legislative committee, society of american foresters",1,"https://thecdil.github.io/wilderness-hearings/browse.html#legislative%20committee,%20society%20of%20american%20foresters"
"greater snake river land use congress, outdoorsmen unlimited",1,"https://thecdil.github.io/wilderness-hearings/browse.html#greater%20snake%20river%20land%20use%20congress,%20outdoorsmen%20unlimited"
"chairman, natural resources committee, idaho wildlife federation",1,"https://thecdil.github.io/wilderness-hearings/browse.html#chairman,%20natural%20resources%20committee,%20idaho%20wildlife%20federation"
"idaho farm bureau federation",1,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20farm%20bureau%20federation"
"president, sagebrush rebellion, inc",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20sagebrush%20rebellion,%20inc"
"executive vice president, idaho cattlemenâ€™s association",1,"https://thecdil.github.io/wilderness-hearings/browse.html#executive%20vice%20president,%20idaho%20cattlemen%C3%A2%E2%82%ACTMs%20association"
"blm",1,"https://thecdil.github.io/wilderness-hearings/browse.html#blm"
"director and chief economist, idaho mining association",1,"https://thecdil.github.io/wilderness-hearings/browse.html#director%20and%20chief%20economist,%20idaho%20mining%20association"
"superior oil co",1,"https://thecdil.github.io/wilderness-hearings/browse.html#superior%20oil%20co"
"coeur dâ€™alene mines",1,"https://thecdil.github.io/wilderness-hearings/browse.html#coeur%20d%C3%A2%E2%82%ACTMalene%20mines"
"carroll mineral exploration",1,"https://thecdil.github.io/wilderness-hearings/browse.html#carroll%20mineral%20exploration"
"conservation chairman, federation of fly fishermen",1,"https://thecdil.github.io/wilderness-hearings/browse.html#conservation%20chairman,%20federation%20of%20fly%20fishermen"
"president, ada county fish &amp",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20ada%20county%20fish%20&amp"
"game league",1,"https://thecdil.github.io/wilderness-hearings/browse.html#game%20league"
"chairman of the board, trus joist corp",1,"https://thecdil.github.io/wilderness-hearings/browse.html#chairman%20of%20the%20board,%20trus%20joist%20corp"
"amoco production co",1,"https://thecdil.github.io/wilderness-hearings/browse.html#amoco%20production%20co"
"independent petroleum association of the mountain states.",1,"https://thecdil.github.io/wilderness-hearings/browse.html#independent%20petroleum%20association%20of%20the%20mountain%20states."
"idaho conservation league.",1,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20conservation%20league."
"vice resident, idaho trail machine association, inc",1,"https://thecdil.github.io/wilderness-hearings/browse.html#vice%20resident,%20idaho%20trail%20machine%20association,%20inc"
"idaho chapter, wildlife society",1,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20chapter,%20wildlife%20society"
